2025-11-19 11:08:19.670 [main] INFO  com.itheima.TilasWebManagementApplication-Starting TilasWebManagementApplication using Java 23.0.1 with PID 21972 (C:\Users\16048\Documents\JAVA\web-ai-code\web-ai-project02\tilas-web-management\target\classes started by 16048 in C:\Users\16048\Documents\JAVA\web-ai-code\web-ai-project02\tilas-web-management)
2025-11-19 11:08:19.674 [main] INFO  com.itheima.TilasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-11-19 11:08:21.954 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-11-19 11:08:21.984 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-11-19 11:08:21.987 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-11-19 11:08:21.987 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.48]
2025-11-19 11:08:22.058 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-11-19 11:08:22.058 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 2282 ms
2025-11-19 11:08:23.484 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-11-19 11:08:23.528 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-11-19 11:08:23.544 [main] INFO  com.itheima.TilasWebManagementApplication-Started TilasWebManagementApplication in 4.605 seconds (process running for 6.106)
2025-11-19 11:09:06.765 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-19 11:09:06.765 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-11-19 11:09:06.767 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 2 ms
2025-11-19 11:09:06.924 [http-nio-8080-exec-1] INFO  com.itheima.filter.TokenFilter-令牌非法
2025-11-19 11:09:06.924 [http-nio-8080-exec-2] INFO  com.itheima.filter.TokenFilter-令牌非法
2025-11-19 11:09:16.358 [http-nio-8080-exec-3] INFO  com.itheima.filter.TokenFilter-登录请求：/login
